Year,January,February,March,April,May,June,July,August,September,October,November,December
1933,,,,,,7.7,40,62.5,91,55.5,23.7,2
1934,62,14,5.5,62.5,26.7,0.5,44,0,78.5,2,,16
1935,24.2,27.5,23.7,6.2,74.8,78.3,14.5,7.6,255.6,14.9,24,84.6
1936,2.2,4.8,12.6,19.2,112.7,12,13.6,68,11.5,18.3,17,17.3
1937,6.1,3.7,15.2,0,47.3,0.8,22.6,6.4,12.8,22.6,22.9,90.5
1938,21.5,15.3,23.6,18,34.3,22.5,107.3,48.7,68,24.3,0,29.8
1939,22.4,0,6.3,41.3,155.3,4,6.7,97.7,44.9,39,8.5,7.8
1940,7.1,14.5,76.7,5.9,44.5,40.6,1.5,107,5.2,69.8,34.2,34
1941,55.1,43.8,16.2,92.2,135.1,206.2,0,6.5,128.5,30.3,9.7,19.3
1942,15.7,21.3,6,41.6,96.9,0.1,,,,,,1.7
1943,,,,,,,,,77.4,45.7,19.8,28.4
1944,13.5,3.5,19,12,36.9,84,11.5,155.8,96.5,7.1,26.5,23.5
1945,8.2,37.5,16.5,48.4,2.9,0,21.5,34.2,89,43.5,0.3,5
1946,36.8,14.5,1,15.5,133,18.5,22,80.5,112.5,22.5,9.5,14
1947,35.5,0,0,28.5,37.2,108,9.5,114.5,29.5,4,22,12.5
1948,1.5,22.3,27,25,10,70,147,28.5,142.5,154.2,11.9,0
1949,10.9,24.3,16,82,78,67,117,39,57.5,91.5,0,25.5
1950,3,12,0.5,28.5,117,39.5,1.5,4.5,26.3,,6,0
1951,0.6,1,25,0,19.5,36.5,0,19,43,62,1.5,0.5
1952,0,4,30.5,4.5,44,17.5,55,0,21.7,0,17.6,20.8
1953,0,4,17.5,0,33,0,7.7,179.3,8.5,50.4,0,12.7
1954,10.6,8.5,1.5,79.7,92,15,12,3.5,8.8,38,9.7,1.5
1955,24.4,13,,0,108.2,4.5,36,115,54,3.5,50.5,25
1956,5,4.5,0,8,35,3,13,28,66.9,3.5,2,12.5
1957,3,58,8.3,17,68.8,36,4.5,14.5,33,9,46,16.5
1958,88.5,34,4.5,10,129.5,51.5,77.5,3.5,251.5,239,6.5,6
1959,6,41.5,0,11,64,19.5,97.5,149,2.5,6,7.5,2
1960,10.8,39.5,2.1,19.2,2,43.3,7.2,56.4,34.5,40.3,32.6,48.2
1961,67.5,7,0,23.3,14.6,72.9,60.5,40.8,105.5,75.4,18.1,11.9
1962,1.5,0.2,10.9,29,13.8,42.9,0,40.5,146.3,7.4,,25
1963,0.5,15.2,1.4,85.2,6.9,32.5,27,0,84,39.9,15.6,16.2
1964,2.5,18,13.4,1.4,21.3,4.6,5.1,113.5,40.7,54.5,5.7,1.6
1965,5.5,16,8,24,54.5,16,7,2,113.5,4,38.5,66.5
1966,22,10,6.5,92,231.5,50,0,49.5,57,26.5,0,0
1967,4.5,12.5,16.5,28.5,4.5,33,3.5,182.5,253,40,31.5,7.5
1968,21.5,39.5,24,106,9,14.5,96.5,27.5,117.5,52.5,24.5,1
1969,2.5,,,11,40.5,48,66,169,,14.5,71.5,26
1970,29,17.5,17,12.5,27.5,14,14.5,9,75.5,5.5,0,1
1971,0,7.5,0,0,33,342.5,1.5,59.5,274.5,112.5,,15.5
1972,12.5,,11.5,17,77.5,85.5,39.5,128.5,32.5,3,25,5
1973,15.5,79,0.5,5.5,1.5,187.5,37.5,38.5,100,78.5,6,2.5
1974,11.5,0,30,7,1,97,0.5,213,109.5,53,20.5,14
1975,10,3.5,10.5,37.5,76,36,156,24.5,123.5,19,0,1.5
1976,1,0,11,94,53.5,4,192,12,42,93,69,69
1977,32.5,9,2,42,22.5,6,0,52.5,71,72,0,4
1978,9.5,4,0,0,74.5,90,18,265.5,152.5,40,5.5,4
1979,13.5,7,31,58.5,16.5,126,39.5,1.5,40.5,0,9.5,15
1980,3.5,22,0,3,59.5,10,,135,44,25,73.5,8
1981,59.5,24,46.5,0,213,205,7,103,8,87.5,0,2.5
1982,1,23.5,4,100.5,88,,4.5,0,15.5,80,34,63
1983,22,71.5,3,0,44,60.5,36,46.5,1.5,45,21.5,19
1984,64.5,0,,,198.5,2,18.5,,,,,
1985,53,9.5,31.5,171.5,132,102,36.5,0,77,,,
1986,9,0,0,,,,,0.5,150.5,43.5,20.5,67.5
1987,16,90.5,17,65.1,121,75,143.5,162,53,13,19.5,4.5
1988,2,20,5,5.5,154.5,20.5,50,,64.5,32,0,0.5
1989,30,19,0.5,12,3.5,16,16,4,18,29.5,15,34
1990,33,95,12.5,12.5,7,0,136,74.5,244.5,17,16,0
1991,21.5,14,,27.5,31,79,1,80,79,2.5,1.5,72
1992,62,15.5,7.5,47,72,44.5,19.5,82,130,9,40,39.5
1993,11.5,21.5,10.5,7,51,143.5,0,39,80,2,8.5,1
1994,61,4,44,27.5,40,36,59.5,42.5,36,67,11,26
1995,6.5,2.5,6,6,63,0,3,65,66.5,60,45,7.5
1996,0,2.5,0,11,29.5,25.5,17,174,20.5,95,23,7
1997,1.5,14,98.5,36,113,56,3.5,38,63.5,41,27.5,4.5
1998,1,65,25,0,0,3.5,1.5,37,58.5,72.5,21,2.5
1999,0,0.5,59,1.5,61.5,46.5,15.5,163.5,17,32,0,6.5
2000,4.5,42,10.5,5.5,121.5,26,4.5,2.5,55,96.5,54,12
2001,13.5,17.5,30.5,13.5,43.5,88.5,10,22,136.5,6,17,
2002,45.5,0,0,14,53.5,40,118.5,35,114,48,21.5,
2003,14.5,28.5,6,19,205,27,30.5,23,236.5,169,27.5,
2004,32.5,9,118.5,56,1,267,2.5,59,139,97.5,53,
2005,30.5,46.5,21,4,41.5,15.5,115,0,,142,0,
2006,0,10,4,10,0,11,0,31,236.5,37,,
2008,17,3,0,6.5,60,0,137.5,151.5,112.5,6.5,2,
2009,0,8.5,1.5,0.5,67.5,0,0,0,50.5,11.5,54,
2010,35,40.5,9.5,209,21.5,128,108.5,22.5,182.5,1,0,
2011,20,0,0,0,40,104.5,29,14,4.5,2.5,5.5,
2012,1,68.5,2,28.5,148,103.5,20.5,1.5,31.5,4.5,13,
2013,23,25,0,83,74.5,71,80,1.5,167.5,51,13.5,0
2014,4,4,13.5,0,86,122,37,42.5,88,36.5,69,0
2015,22.5,16,46,86.5,128,32,1.5,25.5,107,154,28,
2016,41.5,0,86,47.5,45.5,33,34.5,203.5,69,12,47.5,
2017,3.5,0.5,26,14,66.5,29.5,14,24,385.5,18,10.5,26.5
2018,4.5,2,3.5,3.5,8.5,3.5,10,12,197,59,,
